index,Aveg1L,Aveg1R,Aveg2L,Aveg2R,Aveg3L,Aveg4L
441,0.417716,0.430518,0.450645,0.456852,0.296313,0.239449
442,0.416069,0.429204,0.449816,0.456188,0.297468,0.240486
443,0.414417,0.427842,0.449001,0.455510,0.298655,0.241501
444,0.412763,0.426457,0.448195,0.454820,0.299885,0.242563
445,0.411060,0.425057,0.447386,0.454139,0.301110,0.243628
446,0.409326,0.423681,0.446565,0.453456,0.302274,0.244653
447,0.407624,0.422239,0.445727,0.452772,0.303401,0.245640
448,0.405851,0.420784,0.444892,0.452101,0.304548,0.246664
449,0.404081,0.419301,0.444036,0.451403,0.305712,0.247646
450,0.402290,0.417839,0.443165,0.450659,0.306813,0.248680
451,0.400449,0.416348,0.442261,0.449883,0.307897,0.249701
452,0.398638,0.414869,0.441384,0.449148,0.308992,0.250765
453,0.396771,0.413362,0.440443,0.448429,0.310103,0.251818
454,0.394940,0.411783,0.439497,0.447677,0.311158,0.252824
455,0.393042,0.410203,0.438582,0.446902,0.312238,0.253845
456,0.391119,0.408594,0.437637,0.446083,0.313314,0.254890
457,0.389240,0.407010,0.436695,0.445232,0.314381,0.255919
458,0.387256,0.405314,0.435714,0.444475,0.315429,0.256950
459,0.385246,0.403722,0.434749,0.443672,0.316464,0.257949
460,0.383260,0.402098,0.433729,0.442863,0.317474,0.258907
461,0.381227,0.400449,0.432714,0.442012,0.318520,0.259940
462,0.379191,0.398681,0.431686,0.441154,0.319513,0.260918
463,0.377186,0.396934,0.430626,0.440302,0.320552,0.261921
464,0.375170,0.395140,0.429594,0.439435,0.321541,0.262921
465,0.373112,0.393387,0.428550,0.438561,0.322514,0.263945
466,0.371011,0.391623,0.427441,0.437711,0.323513,0.264983
467,0.368862,0.389891,0.426335,0.436825,0.324522,0.265986
468,0.366664,0.388164,0.425255,0.435912,0.325463,0.266974
469,0.364549,0.386379,0.424141,0.434997,0.326390,0.267969
470,0.362357,0.384518,0.423019,0.434061,0.327263,0.268992
471,0.360173,0.382648,0.421896,0.433118,0.328164,0.269977
472,0.357972,0.380768,0.420775,0.432155,0.329120,0.270904
473,0.355833,0.378854,0.419611,0.431231,0.329999,0.271870
474,0.353639,0.376993,0.418411,0.430257,0.330770,0.272872
475,0.351335,0.375118,0.417243,0.429285,0.331673,0.273837
476,0.349080,0.373206,0.416043,0.428330,0.332555,0.274806
477,0.346786,0.371292,0.414847,0.427347,0.333398,0.275758
478,0.344380,0.369310,0.413610,0.426349,0.334229,0.276713
479,0.342022,0.367380,0.412399,0.425323,0.335060,0.277705
480,0.339626,0.365364,0.411201,0.424270,0.335813,0.278682
481,0.337213,0.363346,0.410004,0.423273,0.336580,0.279638
482,0.334813,0.361358,0.408716,0.422269,0.337372,0.280626
483,0.332454,0.359310,0.407437,0.421236,0.338189,0.281560
484,0.330032,0.357281,0.406198,0.420154,0.338932,0.282512
485,0.327620,0.355209,0.404897,0.419061,0.339705,0.283409
486,0.325155,0.353120,0.403613,0.417943,0.340367,0.284349
487,0.322646,0.351031,0.402264,0.416868,0.341095,0.285326
488,0.320212,0.348898,0.400931,0.415799,0.341847,0.286262
489,0.317777,0.346735,0.399567,0.414705,0.342543,0.287164
490,0.315307,0.344547,0.398229,0.413568,0.343184,0.288090
491,0.312765,0.342360,0.396846,0.412476,0.343842,0.289045
492,0.310157,0.340148,0.395458,0.411292,0.344528,0.289883
493,0.307651,0.337939,0.394081,0.410135,0.345188,0.290760
494,0.305116,0.335774,0.392663,0.408999,0.345774,0.291660
495,0.302557,0.333555,0.391271,0.407820,0.346391,0.292570
496,0.299993,0.331301,0.389850,0.406603,0.346987,0.293417
497,0.297408,0.329128,0.388432,0.405437,0.347568,0.294305
498,0.294833,0.326851,0.386917,0.404260,0.348088,0.295210
499,0.292247,0.324630,0.385461,0.403058,0.348629,0.296053
