index,Aveg1L,Aveg1R,Aveg2L,Aveg2R,Aveg3L,Aveg4L
267,0.495593,0.478889,0.365664,0.303014,0.100255,0.082227
268,0.495851,0.479836,0.368254,0.305425,0.101107,0.082946
269,0.496092,0.480767,0.370840,0.307808,0.101961,0.083630
270,0.496304,0.481669,0.373420,0.310248,0.102814,0.084293
271,0.496512,0.482529,0.375911,0.312651,0.103704,0.084954
272,0.496693,0.483402,0.378445,0.315021,0.104564,0.085642
273,0.496863,0.484199,0.380920,0.317386,0.105419,0.086358
274,0.497022,0.484979,0.383417,0.319846,0.106339,0.087032
275,0.497175,0.485718,0.385912,0.322237,0.107244,0.087741
276,0.497323,0.486463,0.388361,0.324610,0.108160,0.088447
277,0.497445,0.487199,0.390768,0.327019,0.109075,0.089172
278,0.497565,0.487839,0.393164,0.329451,0.109987,0.089864
279,0.497655,0.488478,0.395449,0.331899,0.110874,0.090552
280,0.497744,0.489079,0.397765,0.334344,0.111788,0.091270
281,0.497827,0.489675,0.400039,0.336834,0.112739,0.091992
282,0.497897,0.490232,0.402285,0.339308,0.113613,0.092716
283,0.497962,0.490795,0.404514,0.341756,0.114520,0.093411
284,0.498032,0.491301,0.406656,0.344167,0.115453,0.094100
285,0.498089,0.491790,0.408788,0.346525,0.116345,0.094806
286,0.498126,0.492239,0.410829,0.348903,0.117280,0.095573
287,0.498157,0.492686,0.412940,0.351245,0.118204,0.096284
288,0.498186,0.493092,0.414998,0.353636,0.119167,0.097010
289,0.498208,0.493484,0.417053,0.355957,0.120113,0.097787
290,0.498226,0.493823,0.419009,0.358270,0.121085,0.098580
291,0.498245,0.494197,0.420953,0.360670,0.122032,0.099353
292,0.498256,0.494515,0.422845,0.362988,0.122963,0.100106
293,0.498260,0.494825,0.424612,0.365273,0.123931,0.100870
294,0.498263,0.495102,0.426450,0.367609,0.124874,0.101656
295,0.498263,0.495377,0.428236,0.369924,0.125856,0.102435
296,0.498260,0.495644,0.429990,0.372209,0.126857,0.103204
297,0.498252,0.495894,0.431706,0.374421,0.127829,0.104012
298,0.498244,0.496125,0.433377,0.376678,0.128842,0.104813
299,0.498227,0.496311,0.435079,0.378864,0.129821,0.105577
300,0.498213,0.496512,0.436740,0.381125,0.130778,0.106348
301,0.498190,0.496670,0.438305,0.383291,0.131780,0.107143
302,0.498163,0.496823,0.439802,0.385484,0.132795,0.107878
303,0.498143,0.496957,0.441317,0.387632,0.133810,0.108669
304,0.498120,0.497084,0.442812,0.389753,0.134800,0.109453
305,0.498093,0.497188,0.444213,0.391794,0.135802,0.110229
306,0.498054,0.497286,0.445678,0.393920,0.136827,0.111025
307,0.498021,0.497367,0.447075,0.395995,0.137846,0.111862
308,0.497981,0.497430,0.448431,0.398009,0.138900,0.112679
309,0.497938,0.497476,0.449761,0.400007,0.139907,0.113495
310,0.497899,0.497517,0.451061,0.401926,0.140924,0.114274
311,0.497846,0.497552,0.452288,0.403883,0.142003,0.115084
312,0.497800,0.497581,0.453503,0.405755,0.143027,0.115914
313,0.497753,0.497598,0.454686,0.407589,0.144066,0.116724
314,0.497697,0.497607,0.455865,0.409410,0.145117,0.117592
315,0.497625,0.497601,0.457020,0.411210,0.146155,0.118464
316,0.497567,0.497582,0.458116,0.413021,0.147244,0.119282
317,0.497498,0.497576,0.459197,0.414808,0.148279,0.120139
318,0.497422,0.497546,0.460265,0.416490,0.149327,0.120973
319,0.497354,0.497518,0.461315,0.418169,0.150371,0.121830
320,0.497277,0.497481,0.462307,0.419857,0.151417,0.122704
321,0.497207,0.497427,0.463276,0.421492,0.152475,0.123546
322,0.497122,0.497385,0.464229,0.423181,0.153550,0.124424
323,0.497027,0.497317,0.465158,0.424761,0.154614,0.125311
324,0.496945,0.497239,0.466021,0.426272,0.155694,0.126158
325,0.496846,0.497172,0.466889,0.427776,0.156766,0.127001
326,0.496751,0.497102,0.467756,0.429308,0.157880,0.127850
327,0.496656,0.497025,0.468551,0.430779,0.158940,0.128719
328,0.496555,0.496935,0.469327,0.432223,0.159996,0.129577
329,0.496452,0.496842,0.470084,0.433633,0.161044,0.130445
330,0.496334,0.496734,0.470790,0.435027,0.162181,0.131331
331,0.496210,0.496631,0.471522,0.436335,0.163304,0.132205
332,0.496081,0.496539,0.472210,0.437675,0.164340,0.133052
333,0.495949,0.496414,0.472859,0.438956,0.165471,0.133902
334,0.495814,0.496285,0.473530,0.440211,0.166561,0.134750
335,0.495674,0.496164,0.474156,0.441491,0.167635,0.135620
336,0.495533,0.496036,0.474742,0.442686,0.168754,0.136517
337,0.495371,0.495914,0.475339,0.443879,0.169880,0.137397
338,0.495193,0.495787,0.475869,0.445007,0.170995,0.138265
339,0.495036,0.495662,0.476347,0.446159,0.172081,0.139189
340,0.494874,0.495522,0.476823,0.447291,0.173190,0.140036
341,0.494692,0.495370,0.477296,0.448387,0.174310,0.140897
342,0.494519,0.495208,0.477767,0.449479,0.175452,0.141802
