index,veg1,veg2,veg3
187,0.734214,0.447319,0.110505
188,0.735624,0.452294,0.111772
189,0.736976,0.457177,0.113035
190,0.738179,0.461959,0.114352
191,0.739258,0.466835,0.115678
192,0.740331,0.471725,0.116969
193,0.741319,0.476525,0.118296
194,0.742272,0.481259,0.119565
195,0.743101,0.486105,0.120869
196,0.743887,0.490870,0.122209
197,0.744592,0.495471,0.123547
198,0.745262,0.500084,0.124881
199,0.745819,0.504594,0.126282
200,0.746352,0.509096,0.127632
201,0.746824,0.513561,0.129014
202,0.747233,0.517936,0.130372
203,0.747603,0.522234,0.131718
204,0.747930,0.526420,0.133071
205,0.748220,0.530531,0.134453
206,0.748472,0.534540,0.135834
207,0.748710,0.538513,0.137231
208,0.748900,0.542412,0.138667
209,0.749061,0.546168,0.140027
210,0.749223,0.549896,0.141449
211,0.749330,0.553514,0.142890
212,0.749459,0.557094,0.144330
213,0.749559,0.560605,0.145743
214,0.749635,0.563951,0.147167
215,0.749712,0.567217,0.148606
216,0.749769,0.570342,0.150052
217,0.749820,0.573467,0.151543
218,0.749852,0.576398,0.153032
219,0.749885,0.579343,0.154520
220,0.749913,0.582158,0.155985
221,0.749931,0.584872,0.157479
222,0.749948,0.587577,0.159044
223,0.749962,0.590181,0.160569
224,0.749965,0.592679,0.162089
225,0.749983,0.595092,0.163630
226,0.749991,0.597413,0.165195
227,0.750003,0.599780,0.166703
228,0.750009,0.602101,0.168256
229,0.750020,0.604257,0.169852
230,0.750030,0.606362,0.171395
231,0.750038,0.608441,0.172973
232,0.750045,0.610395,0.174576
233,0.750049,0.612326,0.176187
234,0.750056,0.614254,0.177849
235,0.750062,0.616096,0.179548
236,0.750071,0.617924,0.181176
237,0.750077,0.619647,0.182877
238,0.750084,0.621332,0.184553
239,0.750089,0.622949,0.186256
240,0.750098,0.624482,0.187967
241,0.750103,0.626005,0.189673
242,0.750112,0.627396,0.191362
243,0.750121,0.628810,0.193047
244,0.750129,0.630150,0.194813
245,0.750143,0.631367,0.196518
246,0.750154,0.632576,0.198292
247,0.750164,0.633786,0.200053
248,0.750178,0.634911,0.201792
249,0.750192,0.635995,0.203640
250,0.750205,0.637050,0.205449
251,0.750220,0.638022,0.207244
252,0.750236,0.638930,0.209016
253,0.750251,0.639836,0.210854
254,0.750262,0.640692,0.212744
255,0.750282,0.641567,0.214599
256,0.750297,0.642399,0.216500
257,0.750312,0.643148,0.218378
258,0.750327,0.643892,0.220238
259,0.750341,0.644599,0.222159
260,0.750364,0.645275,0.224042
261,0.750380,0.645944,0.225950
262,0.750397,0.646572,0.227850
263,0.750413,0.647139,0.229744
264,0.750432,0.647667,0.231711
265,0.750457,0.648163,0.233664
266,0.750482,0.648628,0.235649
267,0.750508,0.649089,0.237651
268,0.750535,0.649490,0.239637
269,0.750560,0.649891,0.241588
270,0.750587,0.650258,0.243608
271,0.750613,0.650624,0.245569
272,0.750644,0.650948,0.247615
273,0.750671,0.651239,0.249608
274,0.750694,0.651523,0.251679
275,0.750716,0.651787,0.253702
276,0.750748,0.652036,0.255793
277,0.750779,0.652276,0.257863
278,0.750804,0.652483,0.259965
279,0.750831,0.652692,0.262023
280,0.750866,0.652881,0.264073
281,0.750895,0.653071,0.266168
282,0.750934,0.653223,0.268316
283,0.750969,0.653385,0.270460
284,0.750993,0.653522,0.272567
285,0.751023,0.653648,0.274730
286,0.751059,0.653776,0.276967
287,0.751106,0.653907,0.279095
288,0.751143,0.654017,0.281287
289,0.751180,0.654120,0.283540
290,0.751227,0.654216,0.285772
291,0.751261,0.654294,0.287906
292,0.751309,0.654379,0.290080
293,0.751343,0.654469,0.292304
294,0.751380,0.654561,0.294563
295,0.751421,0.654645,0.296861
296,0.751458,0.654720,0.299117
297,0.751508,0.654789,0.301435
298,0.751556,0.654865,0.303801
299,0.751591,0.654930,0.306095
300,0.751635,0.655005,0.308423
301,0.751687,0.655072,0.310736
302,0.751741,0.655140,0.313129
303,0.751785,0.655206,0.315456
304,0.751844,0.655263,0.317811
305,0.751901,0.655334,0.320154
306,0.751962,0.655399,0.322487
307,0.752015,0.655464,0.324873
308,0.752067,0.655541,0.327294
309,0.752128,0.655618,0.329714
310,0.752177,0.655697,0.332145
311,0.752226,0.655779,0.334596
312,0.752284,0.655852,0.336974
313,0.752339,0.655943,0.339377
314,0.752396,0.656032,0.341761
315,0.752451,0.656127,0.344171
316,0.752502,0.656210,0.346609
317,0.752563,0.656296,0.349022
318,0.752632,0.656392,0.351456
319,0.752698,0.656487,0.353817
320,0.752769,0.656580,0.356269
321,0.752840,0.656672,0.358705
322,0.752905,0.656766,0.361091
323,0.752975,0.656866,0.363458
324,0.753056,0.656978,0.365891
325,0.753134,0.657081,0.368316
326,0.753209,0.657200,0.370732
327,0.753290,0.657310,0.373122
328,0.753378,0.657434,0.375502
329,0.753472,0.657557,0.377852
330,0.753549,0.657670,0.380275
331,0.753618,0.657778,0.382661
332,0.753712,0.657890,0.385045
333,0.753799,0.658016,0.387383
334,0.753895,0.658148,0.389703
335,0.753989,0.658286,0.392095
336,0.754080,0.658427,0.394442
337,0.754158,0.658546,0.396807
338,0.754239,0.658676,0.399092
339,0.754329,0.658809,0.401370
340,0.754418,0.658957,0.403660
341,0.754503,0.659092,0.405934
342,0.754604,0.659258,0.408187
343,0.754696,0.659410,0.410360
344,0.754803,0.659577,0.412571
345,0.754899,0.659752,0.414720
346,0.754996,0.659919,0.416893
347,0.755098,0.660073,0.419023
348,0.755197,0.660236,0.421147
349,0.755297,0.660412,0.423245
350,0.755391,0.660577,0.425322
351,0.755500,0.660735,0.427316
352,0.755603,0.660894,0.429401
353,0.755703,0.661072,0.431448
354,0.755809,0.661260,0.433411
355,0.755918,0.661440,0.435369
356,0.756030,0.661639,0.437306
357,0.756142,0.661812,0.439267
358,0.756248,0.662004,0.441216
359,0.756362,0.662213,0.443080
360,0.756478,0.662415,0.445002
361,0.756590,0.662612,0.446876
362,0.756702,0.662831,0.448781
363,0.756812,0.663036,0.450626
364,0.756922,0.663233,0.452480
365,0.757045,0.663455,0.454356
366,0.757149,0.663665,0.456170
367,0.757244,0.663902,0.458015
368,0.757346,0.664117,0.459800
369,0.757477,0.664349,0.461576
370,0.757595,0.664573,0.463376
371,0.757715,0.664804,0.465104
372,0.757820,0.665023,0.466807
373,0.757927,0.665247,0.468500
374,0.758030,0.665478,0.470142
375,0.758140,0.665714,0.471803
376,0.758261,0.665971,0.473414
377,0.758381,0.666215,0.475084
378,0.758486,0.666468,0.476793
379,0.758594,0.666709,0.478430
380,0.758700,0.667005,0.480013
381,0.758823,0.667264,0.481636
382,0.758946,0.667506,0.483225
383,0.759058,0.667743,0.484755
384,0.759162,0.667972,0.486351
385,0.759270,0.668268,0.487937
386,0.759390,0.668538,0.489558
387,0.759492,0.668802,0.491033
388,0.759594,0.669102,0.492563
389,0.759714,0.669363,0.494089
390,0.759821,0.669658,0.495634
391,0.759921,0.669927,0.497151
392,0.760025,0.670199,0.498671
393,0.760125,0.670477,0.500148
394,0.760224,0.670737,0.501693
395,0.760329,0.671026,0.503169
396,0.760440,0.671314,0.504664
397,0.760543,0.671588,0.506158
398,0.760637,0.671890,0.507592
399,0.760745,0.672172,0.509047
400,0.760850,0.672464,0.510495
401,0.760950,0.672761,0.511917
402,0.761053,0.673058,0.513354
403,0.761149,0.673370,0.514812
404,0.761250,0.673661,0.516254
405,0.761346,0.673940,0.517604
406,0.761450,0.674213,0.519006
407,0.761552,0.674491,0.520384
408,0.761650,0.674774,0.521779
409,0.761749,0.675080,0.523165
410,0.761837,0.675377,0.524543
411,0.761934,0.675676,0.525913
412,0.762042,0.675978,0.527250
413,0.762138,0.676288,0.528561
414,0.762234,0.676593,0.529887
415,0.762330,0.676897,0.531223
416,0.762419,0.677212,0.532524
417,0.762518,0.677529,0.533860
418,0.762621,0.677841,0.535188
419,0.762726,0.678129,0.536500
420,0.762812,0.678446,0.537828
421,0.762916,0.678784,0.539130
422,0.763015,0.679075,0.540484
423,0.763114,0.679386,0.541771
