index,Aveg1L,Aveg1R,Aveg2L,Aveg2R,Aveg3L,Aveg3R
201,0.367174,0.374223,0.190840,0.200515,0.025913,0.027582
202,0.370485,0.377464,0.192830,0.202618,0.026187,0.027881
203,0.373804,0.380682,0.194895,0.204715,0.026456,0.028181
204,0.377120,0.383799,0.197000,0.206829,0.026763,0.028474
205,0.380256,0.386939,0.199087,0.208995,0.027061,0.028784
206,0.383326,0.389967,0.201202,0.211129,0.027341,0.029083
207,0.386342,0.392987,0.203363,0.213350,0.027631,0.029401
208,0.389303,0.395870,0.205502,0.215503,0.027933,0.029706
209,0.392266,0.398673,0.207667,0.217700,0.028223,0.030047
210,0.395201,0.401494,0.209803,0.219932,0.028544,0.030358
211,0.398015,0.404305,0.211949,0.222203,0.028843,0.030685
212,0.400836,0.406920,0.214190,0.224466,0.029170,0.030985
213,0.403549,0.409586,0.216396,0.226703,0.029485,0.031290
214,0.406173,0.412078,0.218615,0.228967,0.029789,0.031608
215,0.408790,0.414613,0.220869,0.231278,0.030116,0.031918
216,0.411312,0.417070,0.223150,0.233607,0.030433,0.032253
217,0.413762,0.419393,0.225355,0.235951,0.030751,0.032592
218,0.416221,0.421658,0.227563,0.238293,0.031072,0.032936
219,0.418505,0.423844,0.229781,0.240626,0.031384,0.033283
220,0.420821,0.425947,0.232056,0.243015,0.031718,0.033596
221,0.423045,0.428057,0.234414,0.245363,0.032058,0.033942
222,0.425210,0.430045,0.236761,0.247744,0.032372,0.034293
223,0.427262,0.432018,0.239118,0.250054,0.032734,0.034626
224,0.429299,0.433865,0.241478,0.252425,0.033068,0.034980
225,0.431226,0.435659,0.243782,0.254833,0.033419,0.035338
226,0.433160,0.437462,0.246100,0.257196,0.033781,0.035693
227,0.434985,0.439252,0.248442,0.259648,0.034111,0.036049
228,0.436877,0.440987,0.250842,0.262141,0.034480,0.036395
229,0.438636,0.442651,0.253189,0.264615,0.034841,0.036734
230,0.440337,0.444284,0.255536,0.267093,0.035192,0.037101
231,0.442003,0.445850,0.258015,0.269598,0.035562,0.037451
232,0.443607,0.447351,0.260339,0.272069,0.035906,0.037800
233,0.445180,0.448806,0.262839,0.274534,0.036268,0.038193
234,0.446728,0.450245,0.265276,0.277040,0.036633,0.038579
235,0.448231,0.451666,0.267748,0.279470,0.036996,0.038928
236,0.449623,0.453005,0.270182,0.282039,0.037368,0.039311
237,0.451020,0.454330,0.272606,0.284681,0.037708,0.039681
238,0.452382,0.455596,0.275095,0.287272,0.038085,0.040070
239,0.453719,0.456855,0.277525,0.289797,0.038472,0.040469
240,0.454988,0.458093,0.279997,0.292394,0.038864,0.040867
241,0.456204,0.459219,0.282426,0.294974,0.039238,0.041251
242,0.457441,0.460371,0.284911,0.297531,0.039629,0.041625
243,0.458642,0.461465,0.287403,0.300179,0.040014,0.042021
244,0.459793,0.462516,0.289913,0.302742,0.040436,0.042430
245,0.460904,0.463563,0.292413,0.305295,0.040831,0.042832
246,0.461976,0.464540,0.294891,0.307974,0.041221,0.043240
247,0.462985,0.465495,0.297487,0.310611,0.041622,0.043665
248,0.463964,0.466434,0.299987,0.313195,0.042007,0.044063
249,0.464896,0.467352,0.302525,0.315796,0.042421,0.044479
250,0.465788,0.468199,0.305126,0.318422,0.042831,0.044881
251,0.466665,0.468984,0.307731,0.321047,0.043247,0.045292
252,0.467523,0.469781,0.310306,0.323629,0.043661,0.045710
253,0.468326,0.470538,0.312851,0.326261,0.044092,0.046098
254,0.469097,0.471209,0.315441,0.328894,0.044514,0.046494
255,0.469838,0.471902,0.318010,0.331581,0.044937,0.046898
256,0.470579,0.472543,0.320605,0.334238,0.045366,0.047324
257,0.471255,0.473171,0.323203,0.336840,0.045790,0.047765
258,0.471895,0.473771,0.325803,0.339496,0.046227,0.048187
259,0.472549,0.474365,0.328337,0.342117,0.046674,0.048594
260,0.473133,0.474885,0.331018,0.344690,0.047097,0.049037
261,0.473696,0.475392,0.333657,0.347271,0.047559,0.049500
262,0.474225,0.475836,0.336212,0.349790,0.047988,0.049954
263,0.474719,0.476260,0.338767,0.352344,0.048436,0.050397
264,0.475187,0.476718,0.341320,0.354895,0.048882,0.050853
265,0.475618,0.477081,0.343847,0.357409,0.049330,0.051332
266,0.476074,0.477415,0.346351,0.359897,0.049760,0.051780
267,0.476462,0.477766,0.348878,0.362296,0.050206,0.052237
268,0.476823,0.478084,0.351411,0.364800,0.050645,0.052691
269,0.477159,0.478375,0.353915,0.367181,0.051119,0.053165
270,0.477466,0.478647,0.356417,0.369598,0.051569,0.053653
271,0.477766,0.478898,0.358868,0.371926,0.052081,0.054131
272,0.478058,0.479099,0.361284,0.374290,0.052533,0.054604
273,0.478338,0.479296,0.363735,0.376606,0.053000,0.055080
274,0.478588,0.479504,0.366151,0.378978,0.053475,0.055550
275,0.478815,0.479664,0.368593,0.381262,0.053955,0.056019
276,0.479023,0.479826,0.371055,0.383470,0.054446,0.056507
277,0.479214,0.479978,0.373395,0.385690,0.054926,0.057006
278,0.479386,0.480107,0.375673,0.387878,0.055404,0.057513
279,0.479534,0.480226,0.377905,0.389976,0.055908,0.058016
280,0.479700,0.480344,0.380185,0.392036,0.056407,0.058499
281,0.479833,0.480436,0.382427,0.394136,0.056903,0.059050
282,0.479957,0.480514,0.384676,0.396204,0.057407,0.059560
283,0.480092,0.480591,0.386862,0.398243,0.057949,0.060112
284,0.480198,0.480643,0.389023,0.400251,0.058452,0.060649
285,0.480301,0.480698,0.391155,0.402225,0.058974,0.061182
286,0.480381,0.480753,0.393257,0.404129,0.059523,0.061713
287,0.480465,0.480804,0.395280,0.406036,0.060060,0.062292
