index,Aveg1L,Aveg1R,Aveg2L,Aveg2R,Aveg3L,Aveg3R
386,0.481596,0.481657,0.474521,0.474772,0.132742,0.140404
387,0.481607,0.481663,0.474615,0.474822,0.133705,0.141439
388,0.481615,0.481670,0.474692,0.474874,0.134689,0.142476
389,0.481623,0.481673,0.474766,0.474915,0.135692,0.143522
390,0.481630,0.481683,0.474827,0.474952,0.136697,0.144530
391,0.481638,0.481693,0.474901,0.475001,0.137680,0.145542
392,0.481646,0.481704,0.474959,0.475045,0.138652,0.146617
393,0.481650,0.481716,0.475015,0.475089,0.139623,0.147660
394,0.481661,0.481725,0.475065,0.475125,0.140641,0.148696
395,0.481670,0.481734,0.475118,0.475164,0.141654,0.149781
396,0.481678,0.481746,0.475172,0.475203,0.142634,0.150846
397,0.481689,0.481754,0.475223,0.475236,0.143627,0.151955
398,0.481697,0.481758,0.475275,0.475266,0.144648,0.152963
399,0.481706,0.481767,0.475314,0.475302,0.145651,0.154053
400,0.481716,0.481776,0.475355,0.475328,0.146688,0.155124
401,0.481727,0.481789,0.475401,0.475352,0.147737,0.156218
402,0.481736,0.481797,0.475439,0.475380,0.148785,0.157343
403,0.481746,0.481807,0.475472,0.475409,0.149834,0.158440
404,0.481752,0.481820,0.475519,0.475439,0.150873,0.159517
405,0.481759,0.481832,0.475552,0.475477,0.151930,0.160600
406,0.481769,0.481843,0.475590,0.475516,0.152948,0.161719
407,0.481777,0.481853,0.475626,0.475542,0.154001,0.162796
408,0.481783,0.481866,0.475660,0.475566,0.155067,0.163868
409,0.481793,0.481881,0.475690,0.475599,0.156093,0.164924
410,0.481802,0.481890,0.475722,0.475626,0.157148,0.166033
411,0.481812,0.481907,0.475749,0.475662,0.158278,0.167132
412,0.481820,0.481918,0.475786,0.475690,0.159382,0.168253
413,0.481830,0.481926,0.475822,0.475710,0.160450,0.169337
414,0.481843,0.481941,0.475862,0.475739,0.161577,0.170413
415,0.481852,0.481956,0.475900,0.475764,0.162632,0.171525
416,0.481862,0.481969,0.475924,0.475793,0.163764,0.172652
417,0.481871,0.481979,0.475947,0.475823,0.164844,0.173813
418,0.481883,0.481992,0.475973,0.475851,0.165966,0.174980
