index,veg1,veg2,veg3
201,0.768497,0.403006,0.122355
202,0.775220,0.407340,0.123698
203,0.781774,0.411763,0.125015
204,0.788329,0.416143,0.126363
205,0.794726,0.420547,0.127725
206,0.801072,0.424889,0.129110
207,0.807239,0.429323,0.130511
208,0.813315,0.433809,0.131936
209,0.819333,0.438334,0.133360
210,0.825151,0.442822,0.134775
211,0.830844,0.447246,0.136183
212,0.836485,0.451851,0.137618
213,0.841926,0.456459,0.139023
214,0.847220,0.461052,0.140472
215,0.852285,0.465652,0.141888
216,0.857305,0.470244,0.143331
217,0.862291,0.474860,0.144822
218,0.867120,0.479550,0.146333
219,0.871763,0.484230,0.147772
220,0.876390,0.488890,0.149277
221,0.880762,0.493665,0.150757
222,0.885085,0.498430,0.152235
223,0.889282,0.503253,0.153754
224,0.893448,0.508181,0.155308
225,0.897405,0.513109,0.156836
226,0.901335,0.518048,0.158362
227,0.905070,0.522935,0.159903
228,0.908663,0.527868,0.161462
229,0.912280,0.532803,0.162990
230,0.915768,0.537755,0.164597
231,0.919222,0.542844,0.166141
232,0.922466,0.547864,0.167709
233,0.925610,0.552849,0.169319
234,0.928696,0.557824,0.170920
235,0.931638,0.562899,0.172512
236,0.934452,0.567936,0.174095
237,0.937226,0.573060,0.175710
238,0.939981,0.578184,0.177304
239,0.942604,0.583347,0.178929
240,0.945151,0.588536,0.180569
241,0.947644,0.593767,0.182206
242,0.949991,0.598993,0.183886
243,0.952331,0.604294,0.185581
244,0.954544,0.609547,0.187315
245,0.956700,0.614743,0.188998
246,0.958767,0.620071,0.190684
247,0.960736,0.625356,0.192344
248,0.962701,0.630630,0.194009
249,0.964564,0.635876,0.195706
250,0.966295,0.641238,0.197492
251,0.968015,0.646558,0.199168
252,0.969656,0.651887,0.200941
253,0.971215,0.657287,0.202716
254,0.972751,0.662642,0.204491
255,0.974226,0.667829,0.206233
256,0.975638,0.673096,0.208026
257,0.976930,0.678448,0.209797
258,0.978148,0.683717,0.211544
259,0.979364,0.688968,0.213292
260,0.980500,0.694312,0.215077
261,0.981579,0.699451,0.216900
262,0.982583,0.704690,0.218740
263,0.983570,0.709891,0.220670
264,0.984503,0.715199,0.222537
265,0.985394,0.720439,0.224365
266,0.986212,0.725694,0.226181
267,0.986954,0.730790,0.228057
268,0.987675,0.735790,0.229922
269,0.988370,0.740760,0.231779
270,0.988997,0.745699,0.233665
271,0.989586,0.750701,0.235558
272,0.990151,0.755583,0.237465
273,0.990657,0.760462,0.239415
274,0.991120,0.765361,0.241251
275,0.991577,0.770279,0.243145
276,0.991975,0.774972,0.245090
277,0.992336,0.779684,0.247038
278,0.992677,0.784214,0.248961
279,0.992977,0.788738,0.250886
280,0.993247,0.793250,0.252848
281,0.993502,0.797752,0.254734
282,0.993721,0.802193,0.256678
283,0.993948,0.806635,0.258708
284,0.994136,0.810988,0.260749
285,0.994310,0.815221,0.262777
286,0.994449,0.819531,0.264759
287,0.994568,0.823677,0.266793
288,0.994673,0.827706,0.268882
289,0.994768,0.831646,0.270901
290,0.994847,0.835638,0.272960
291,0.994921,0.839491,0.275020
292,0.994979,0.843282,0.277070
293,0.995027,0.847011,0.279119
294,0.995062,0.850718,0.281183
295,0.995106,0.854293,0.283245
296,0.995121,0.857754,0.285288
297,0.995134,0.861214,0.287393
298,0.995121,0.864681,0.289456
299,0.995137,0.867982,0.291577
300,0.995135,0.871257,0.293676
301,0.995121,0.874486,0.295764
302,0.995109,0.877548,0.297826
303,0.995095,0.880613,0.299991
304,0.995070,0.883606,0.302149
305,0.995040,0.886575,0.304280
306,0.995012,0.889490,0.306485
307,0.994989,0.892358,0.308666
308,0.994955,0.895036,0.310837
309,0.994924,0.897771,0.312970
310,0.994891,0.900359,0.315239
311,0.994852,0.902944,0.317458
312,0.994805,0.905527,0.319630
313,0.994762,0.907995,0.321820
314,0.994714,0.910435,0.324033
315,0.994669,0.912805,0.326246
316,0.994626,0.915207,0.328480
317,0.994580,0.917515,0.330713
318,0.994528,0.919746,0.332950
319,0.994476,0.921898,0.335172
320,0.994426,0.924048,0.337434
321,0.994374,0.926171,0.339711
322,0.994326,0.928218,0.341976
323,0.994269,0.930229,0.344281
324,0.994211,0.932229,0.346599
325,0.994154,0.934182,0.348895
326,0.994097,0.935997,0.351202
327,0.994036,0.937773,0.353511
328,0.993978,0.939509,0.355901
329,0.993923,0.941272,0.358188
330,0.993857,0.942915,0.360563
331,0.993800,0.944564,0.362951
332,0.993742,0.946104,0.365338
333,0.993682,0.947668,0.367647
334,0.993618,0.949156,0.370031
335,0.993551,0.950562,0.372374
336,0.993480,0.951968,0.374699
337,0.993401,0.953311,0.377102
338,0.993318,0.954612,0.379492
339,0.993250,0.955859,0.381907
340,0.993177,0.957105,0.384290
341,0.993112,0.958340,0.386678
342,0.993041,0.959521,0.389092
343,0.992952,0.960674,0.391551
344,0.992885,0.961840,0.394003
345,0.992805,0.962933,0.396503
346,0.992707,0.963955,0.398975
347,0.992626,0.964927,0.401464
348,0.992552,0.965892,0.403930
349,0.992471,0.966837,0.406413
350,0.992379,0.967720,0.408875
351,0.992285,0.968599,0.411389
352,0.992200,0.969436,0.413936
353,0.992113,0.970245,0.416435
354,0.992032,0.971039,0.418948
355,0.991937,0.971764,0.421485
356,0.991837,0.972443,0.423965
357,0.991730,0.973091,0.426475
358,0.991639,0.973746,0.429029
359,0.991533,0.974364,0.431510
360,0.991419,0.974932,0.434071
361,0.991328,0.975474,0.436702
362,0.991228,0.975994,0.439333
363,0.991124,0.976469,0.441906
364,0.991019,0.976943,0.444512
365,0.990921,0.977426,0.447164
366,0.990803,0.977830,0.449714
367,0.990684,0.978224,0.452346
368,0.990587,0.978588,0.455001
369,0.990484,0.978921,0.457689
